,input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分
2942,2021/11/19,82929,TAPTAP,The Wolf's Bite,"休闲,策略",nan,nan,https://www.taptap.com/app/82929,Eric Bernier,9.8,0,2864,预约,￥12,
2943,2021/11/19,82923,TAPTAP,JackQuest,角色扮演,nan,nan,https://www.taptap.com/app/82923,Jose Neto,0.0,0,176,预约,￥40,
2944,2021/11/19,82919,TAPTAP,死亡废墟AR,"射击,AR",nan,nan,https://www.taptap.com/app/82919,蘑菇侠游戏,7.5,0,3502,预约,预约,
2945,2021/11/19,82842,TAPTAP,末日迷宫,"末日生存,Roguelike,独立游戏,生存",惊蛰,nan,https://www.taptap.com/app/82842,nan,8.6,0,26829,预约,预约,
2946,2021/11/19,82738,TAPTAP,Plunge,角色扮演,nan,nan,https://www.taptap.com/app/82738,SPOOKY BUNS,0.0,0,291,预约,预约,
2947,2021/11/19,82724,TAPTAP,球·极,"策略,迷宫,休闲",nan,nan,https://www.taptap.com/app/82724,梦与星工作室,9.5,0,1383,预约,预约,
2948,2021/11/19,82722,TAPTAP,暴风雪俱乐部,"推理,解谜,益智,烧脑",nan,nan,https://www.taptap.com/app/82722,伊诺工作室,9.7,0,44194,预约,预约,
2949,2021/11/19,82721,TAPTAP,魔灵英雄,"音乐,动作,节奏,MOBA",nan,nan,https://www.taptap.com/app/82721,一游,8.4,0,2886,预约,获取,
2950,2021/11/19,82480,TAPTAP,unknown,角色扮演,nan,nan,https://www.taptap.com/app/82480,Playdead,9.7,0,5449,预约,预约,
2951,2021/11/19,82377,TAPTAP,一根杠杆两头担,"收集,对战,联机,联机对战,休闲",nan,nan,https://www.taptap.com/app/82377,学习景观设计的游戏设计师,9.7,0,1388,预约,敬请期待,
2952,2021/11/19,82361,TAPTAP,小淘淘和蓝卷卷,"冒险,休闲",徐州百吉堂多媒体有限公司,nan,https://www.taptap.com/app/82361,阿法贝,9.5,0,1701,预约,敬请期待,
2953,2021/11/19,82358,TAPTAP,夜鸦之歌,"日系,地牢,冒险,Roguelike",泰尼游戏,nan,https://www.taptap.com/app/82358,nan,7.9,0,3700,预约,预约,
2954,2021/11/19,82239,TAPTAP,月影之塔-LUNA,"唯美,解谜,独立游戏,手绘,冒险",Lantern Studio,椰岛游戏,https://www.taptap.com/app/82239,nan,8.2,0,58563,预约,预约,
2955,2021/11/19,82238,TAPTAP,传送门骑士online,"中文,联机,冒险,角色扮演,沙盒",nan,nan,https://www.taptap.com/app/82238,广州多益网络股份有限公司,8.1,0,44278,预约,预约,
2956,2021/11/19,82169,TAPTAP,深渊冒险,"冒险,独立游戏,跑酷,国产,休闲",上海雪游信息科技有限公司,nan,https://www.taptap.com/app/82169,nan,0.0,0,602,预约,预约,
2957,2021/11/19,82128,TAPTAP,王者围城,"RPG,角色扮演,MMO,MMORPG",nan,nan,https://www.taptap.com/app/82128,SOT工作室,6.9,0,52545,预约,预约,
2958,2021/11/19,81894,TAPTAP,探险者,"沙盒,生存,像素",luckfish,nan,https://www.taptap.com/app/81894,nan,8.9,0,1155,预约,预约,
2959,2021/11/19,81848,TAPTAP,枪火突击,"幻想,多人,动作,魔幻,吃鸡,多人竞技,射击",地精网络,nan,https://www.taptap.com/app/81848,nan,7.0,0,2367,预约,预约,
2960,2021/11/19,81600,TAPTAP,星辰前线：指挥官,"经营,建造,策略",女武神工作室,nan,https://www.taptap.com/app/81600,成都瓦尔基里科技有限公司,9.4,0,864,预约,预约,
2961,2021/11/19,81570,TAPTAP,盖世球星,"体育,足球,运动",nan,nan,https://www.taptap.com/app/81570,上海冰动信息技术有限公司,7.6,0,2683,预约,预约,
2962,2021/11/19,81460,TAPTAP,篝火：被遗弃的土地,"建造,生存,PC移植,经营,策略,移植,中文",nan,nan,https://www.taptap.com/app/81460,FredBear Games Ltd,8.9,0,81467,预约,￥12,
2963,2021/11/19,81444,TAPTAP,勇者闯迷宫,"角色扮演,放置,RPG",nan,nan,https://www.taptap.com/app/81444,炎鸟,9.5,0,822,预约,敬请期待,
2964,2021/11/19,81385,TAPTAP,CODE CRACKER 代码破译者,"多结局,解谜,幻想,经营,养成,黑客,科幻",致意,广州市友趣科技有限公司,https://www.taptap.com/app/81385,nan,9.6,0,11579,预约,￥12,
2965,2021/11/19,81357,TAPTAP,浩天奇缘2,"冒险,经典,自由,宠物,角色扮演,RPG",成都哆可梦网络科技有限公司,nan,https://www.taptap.com/app/81357,哆可梦游戏,8.7,0,363,预约,预约,
