,input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分
2601,2021/11/19,176389,TAPTAP,沉浮（Sea of Craft）,"经营,建造,沙盒,模拟",nan,nan,https://www.taptap.com/app/176389,无端科技,9.5,0,9313,预约,预约,
2602,2021/11/19,176371,TAPTAP,星轨之上,"养成,模拟,二次元,音乐,消除,偶像,经营,休闲",梦映娱乐,nan,https://www.taptap.com/app/176371,nan,9.0,0,42366,预约,预约,
2603,2021/11/19,176347,TAPTAP,CyberDash,"高难度,动作,平台跳跃,赛博朋克",nan,nan,https://www.taptap.com/app/176347,ZZT工作室,8.0,0,31051,预约,预约,
2604,2021/11/19,176342,TAPTAP,见习猎魔团,"Roguelike,像素,弹幕,冒险,独立游戏,联机,动作",造梦屋,nan,https://www.taptap.com/app/176342,nan,8.0,0,70945,预约,预约,
2605,2021/11/19,176296,TAPTAP,ELOH（咿哟）,"休闲,解谜,音乐",Broken Rules,TiltGames,https://www.taptap.com/app/176296,nan,9.7,0,8533,预约,￥12,
2606,2021/11/19,176288,TAPTAP,秘境英雄,"冒险,Roguelike,卡牌",武汉浩帆互动科技有限公司,nan,https://www.taptap.com/app/176288,nan,7.2,0,11327,预约,敬请期待,
2607,2021/11/19,176287,TAPTAP,斯露德,"3D,空战,飞行射击,飞行,弹幕,射击,动作,美少女,二次元",Access!,哔哩哔哩游戏,https://www.taptap.com/app/176287,nan,9.3,0,224641,预约,预约,
2608,2021/11/19,176284,TAPTAP,放置海域,"模拟,放置,策略",维度娱乐工作室,nan,https://www.taptap.com/app/176284,nan,6.2,0,11469,预约,获取,3.0
2609,2021/11/19,176273,TAPTAP,龙族幻想,角色扮演,nan,nan,https://www.taptap.com/app/176273,EFUN Company,5.1,0,2370,预约,预约,
2610,2021/11/19,176255,TAPTAP,魔君的抉择,"竞技,黑暗,角色扮演",nan,nan,https://www.taptap.com/app/176255,ThinkGame,0.0,0,12,预约,预约,
